Curah Hujan,Produksi,Harga
304.3,3459,17150.0
486.8,4607,16050.0
233.0,2848,18350.0
505.1,2998,22150.0
510.3,4328,21350.0
311.1,5078,16200.0
115.6,2768,
399.5,2587,13000.0
317.3,2313,16350.0
566.5,1775,13750.0
183.6,1586,15100.0
279.1,894,8750.0
